title,brand,price,price_per_unit,image,url,sku,category,scraped_at
"Milk2Go 2% Partly Skimmed Milk, 6 x 200 mL",Milk2Go,6.68,,https://i5.walmartimages.com/asr/b691275e-975b-4874-87fd-d0c7d6791635.ed80c30ef9c4b1c0a824df506c0b8553.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF,https://www.walmart.ca/en/ip/Milk2Go-2-Partly-Skimmed-Milk/6000197627159,Milk2Go-2-Partly-Skimmed-Milk,search:milk,2025-10-21T05:15:36Z
"Dairyland Microfiltered 3.25% Homogenized Milk, 1.89L",Dairyland Microfiltered,6.68,,https://i5.walmartimages.com/asr/8a9d0d45-cce1-43d7-bea1-4b346362390f.4591de8443a2c4eba82fa7047ce1a40d.png?odnHeight=580&odnWidth=580&odnBg=FFFFFF,https://www.walmart.ca/en/ip/Dairyland-Microfiltered-3-25-Homogenized-Milk/4KQNP7V0XMWZ,Dairyland-Microfiltered-3-25-Homogenized-Milk,search:milk,2025-10-21T05:15:36Z
"Milk2Go 1% Chocolate Partly Skimmed Milk, 6 x 200 mL",Milk2Go,6.68,,https://i5.walmartimages.com/asr/1475f830-7891-4207-912a-b980cbb1c86b.954d865aa2bd9a24143ec0e28e106a58.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF,https://www.walmart.ca/en/ip/Milk2Go-1-Chocolate-Partly-Skimmed-Milk/6000197522486,Milk2Go-1-Chocolate-Partly-Skimmed-Milk,search:milk,2025-10-21T05:15:36Z
"Dairyland Lactose Free 3.25% Homogenized Milk, 1.89L",Dairyland Lactose Free,6.38,,https://i5.walmartimages.com/asr/8726dc24-87c9-4661-a656-732fef1bbfde.6cc6277a87ffd5ec83ea133e622ef74d.png?odnHeight=580&odnWidth=580&odnBg=FFFFFF,https://www.walmart.ca/en/ip/Dairyland-Lactose-Free-3-25-Homogenized-Milk/74URCPGX04ND,Dairyland-Lactose-Free-3-25-Homogenized-Milk,search:milk,2025-10-21T05:15:36Z
"Dairyland Lactose Free Skim Milk, 1.89L",Dairyland Lactose Free,6.38,,https://i5.walmartimages.com/asr/7ea65e94-0031-4186-92ce-437941ed8195.066062cfca54077bbe594deb9b2cbb39.png?odnHeight=580&odnWidth=580&odnBg=FFFFFF,https://www.walmart.ca/en/ip/Dairyland-Lactose-Free-Skim-Milk/1P5ZRACHZXIY,Dairyland-Lactose-Free-Skim-Milk,search:milk,2025-10-21T05:15:36Z
"Natrel Lactose Free 2%, 2L",Natrel Lactose Free,6.38,,https://i5.walmartimages.com/asr/ef9ee9ef-a2fb-4a41-b388-fac6c3316bfa.423cbbf79fc0fb71f1d518091d59e6a5.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF,https://www.walmart.ca/en/ip/Natrel-Lactose-Free-2/3QH06CPCFX9E,Natrel-Lactose-Free-2,search:milk,2025-10-21T05:15:36Z
"Dairyland Lactose Free 2% Partly Skimmed Milk, 1.89L",Dairyland Lactose Free,6.38,,https://i5.walmartimages.com/asr/aec8c011-2bc1-4274-950c-5e1595f058ca.68d1040a8950977af5ee842d7386e76a.png?odnHeight=580&odnWidth=580&odnBg=FFFFFF,https://www.walmart.ca/en/ip/Dairyland-Lactose-Free-2-Partly-Skimmed-Milk/4R7YKXTZJ5EB,Dairyland-Lactose-Free-2-Partly-Skimmed-Milk,search:milk,2025-10-21T05:15:36Z
"Natrel Lactose Free 3.25%, 2L",Natrel Lactose Free,6.38,,https://i5.walmartimages.com/asr/7a86fcc1-5443-4fa6-8608-79dfb21abeb9.60afdc48308a807254add615a2919b1d.png?odnHeight=580&odnWidth=580&odnBg=FFFFFF,https://www.walmart.ca/en/ip/Natrel-Lactose-Free-3-25/5QNNIYLE6LQB,Natrel-Lactose-Free-3-25,search:milk,2025-10-21T05:15:36Z
"Dairyland Lactose Free 1% Partly Skimmed Milk, 1.89L",Dairyland Lactose Free,6.38,,https://i5.walmartimages.com/asr/7550edec-d1d9-4e0a-ab29-3331acecdb83.1d9a649d8a68f091d9a1f585f63f4c71.png?odnHeight=580&odnWidth=580&odnBg=FFFFFF,https://www.walmart.ca/en/ip/Dairyland-Lactose-Free-1-Partly-Skimmed-Milk/1HJNS5ZD18J3,Dairyland-Lactose-Free-1-Partly-Skimmed-Milk,search:milk,2025-10-21T05:15:36Z
"Natrel Lactose Free 1%, 2L",Natrel Lactose Free,6.38,,https://i5.walmartimages.com/asr/5f313061-e72a-4b50-971c-757a9121fcb1.ae35b1d99be0e13abcafff1497715bf3.png?odnHeight=580&odnWidth=580&odnBg=FFFFFF,https://www.walmart.ca/en/ip/Natrel-Lactose-Free-1/1489UZZIWBZK,Natrel-Lactose-Free-1,search:milk,2025-10-21T05:15:36Z
